"BehaviorSpace results (NetLogo 6.0.2)"
"seperation.nlogo"
"A2"
"02/26/2018 20:55:30:294 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","85","0","85"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"vision","4","4","4","4","4","4","4","4","4","4"
"separation","3","3","3","3","3","3","3","3","3","3"
"max-turn-angle","15","15","15","15","15","15","15","15","15","15"
"num-proactives","40","40","40","40","40","40","40","40","40","40"
"num-reactives","0","0","0","0","0","0","0","0","0","0"
"velocity","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"[reporter]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
"[final]","51","41","49","52","30","49","52","61","45","55"
"[min]","0","0","0","0","0","0","0","0","0","0"
"[max]","51","41","49","52","30","49","52","61","45","55"
"[mean]","31.88118811881188","22.940594059405942","22.980198019801982","22.683168316831683","17.485148514851485","24.04950495049505","29.08910891089109","38.62376237623762","26.02970297029703","28.465346534653467"
"[steps]","100","100","100","100","100","100","100","100","100","100"

"[all run data]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
,"0","0","0","0","0","0","0","0","0","0"
,"10","8","4","0","4","4","7","13","6","6"
,"10","8","4","0","6","6","7","16","6","6"
,"10","8","4","0","6","6","7","16","6","6"
,"10","8","4","0","6","6","7","16","6","6"
,"10","8","4","4","6","6","7","16","6","6"
,"10","8","4","4","6","8","9","16","8","6"
,"10","8","4","4","6","8","9","16","8","6"
,"10","8","4","4","6","8","9","16","8","8"
,"12","8","4","5","6","8","9","16","8","8"
,"12","8","4","5","6","8","9","16","8","8"
,"12","8","4","5","6","8","9","16","8","8"
,"12","10","4","5","6","8","11","16","8","8"
,"12","10","4","5","6","8","11","16","8","10"
,"12","10","4","7","6","8","11","18","8","10"
,"12","10","6","7","6","8","11","18","8","10"
,"12","10","6","7","6","10","11","20","8","10"
,"14","10","8","7","8","10","11","22","8","10"
