"BehaviorSpace results (NetLogo 6.0.2)"
"seperation.nlogo"
"C3-3"
"02/26/2018 20:58:22:710 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","85","0","85"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"vision","3","3","3","3","3","3","3","3","3","3"
"separation","3","3","3","3","3","3","3","3","3","3"
"max-turn-angle","15","15","15","15","15","15","15","15","15","15"
"num-proactives","40","40","40","40","40","40","40","40","40","40"
"num-reactives","0","0","0","0","0","0","0","0","0","0"
"velocity","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"[reporter]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
"[final]","62","80","89","79","86","73","65","95","80","66"
"[min]","0","0","0","0","0","0","0","0","0","0"
"[max]","62","80","89","79","86","73","65","95","80","66"
"[mean]","29.871287128712872","42.43564356435643","46.48514851485149","46.65346534653465","41.91089108910891","35.554455445544555","32.851485148514854","47.35643564356435","41.613861386138616","35.64356435643565"
"[steps]","100","100","100","100","100","100","100","100","100","100"

"[all run data]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
,"0","0","0","0","0","0","0","0","0","0"
,"4","4","2","9","9","2","4","2","7","6"
,"4","4","2","11","9","2","6","4","7","6"
,"4","4","6","11","11","4","6","4","7","6"
,"4","4","10","13","11","4","6","6","9","7"
,"4","6","10","13","11","4","8","6","11","7"
,"4","8","10","16","11","4","8","8","11","7"
,"6","8","12","18","11","6","9","8","11","7"
,"6","10","14","18","11","8","9","8","11","9"
,"6","10","14","20","11","8","11","8","11","9"
,"6","10","14","20","13","10","13","8","11","9"
,"6","10","14","20","15","10","13","8","13","9"
,"6","12","14","20","15","10","13","10","15","9"
,"6","14","16","20","15","10","13","10","15","9"
,"6","14","18","20","15","10","13","12","15","9"
,"8","14","18","22","15","10","13","12","15","9"
,"8","14","18","22","19","10","15","16","16","9"
,"8","16","18","26","19","10","15","17","18","11"
,"10","16","18","26","20","12","15","19","20","11"
,"12","16","18","27","20","12","15","21","20","11"
,"13","16","20","27","20","12","15","22","22","11"
