"BehaviorSpace results (NetLogo 6.0.2)"
"seperation.nlogo"
"B2"
"02/26/2018 20:06:25:880 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","85","0","85"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"vision","4","4","4","4","4","4","4","4","4","4"
"separation","3","3","3","3","3","3","3","3","3","3"
"max-turn-angle","15","15","15","15","15","15","15","15","15","15"
"num-proactives","8","8","8","8","8","8","8","8","8","8"
"num-reactives","32","32","32","32","32","32","32","32","32","32"
"velocity","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"[reporter]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
"[final]","71","48","80","66","71","74","67","71","65","66"
"[min]","0","0","0","0","0","0","0","0","0","0"
"[max]","71","48","80","66","71","74","67","71","65","66"
"[mean]","32.396039603960396","26.178217821782177","39.75247524752475","33.366336633663366","33","41.118811881188115","32.28712871287129","39.98019801980198","35.0990099009901","34.78217821782178"
"[steps]","100","100","100","100","100","100","100","100","100","100"

"[all run data]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
,"0","0","0","0","0","0","0","0","0","0"
,"5","6","4","2","2","6","2","8","2","2"
,"5","6","6","2","2","6","2","8","4","2"
,"5","6","6","4","4","6","2","8","4","2"
,"5","8","6","6","4","6","2","10","4","2"
,"5","10","6","8","4","8","4","12","6","4"
,"5","10","8","8","6","10","4","12","8","4"
,"6","10","10","8","8","11","4","15","8","4"
,"8","10","10","8","8","13","6","15","8","4"
,"8","10","10","9","8","13","6","17","8","8"
,"8","10","10","9","8","15","6","17","8","8"
,"8","10","12","9","8","15","6","17","8","10"
,"10","11","12","9","10","16","8","18","8","10"
,"12","11","12","11","10","16","10","18","11","12"
,"12","13","14","11","10","18","10","20","13","13"
,"12","13","14","11","10","18","12","20","13","14"
,"12","14","14","17","12","18","14","20","17","14"
,"13","15","14","17","12","18","14","20","17","16"
