"BehaviorSpace results (NetLogo 6.0.2)"
"seperation.nlogo"
"C1-60"
"02/26/2018 20:18:22:077 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","85","0","85"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"vision","4","4","4","4","4","4","4","4","4","4"
"separation","3","3","3","3","3","3","3","3","3","3"
"max-turn-angle","15","15","15","15","15","15","15","15","15","15"
"num-proactives","60","60","60","60","60","60","60","60","60","60"
"num-reactives","0","0","0","0","0","0","0","0","0","0"
"velocity","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"[reporter]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
"[final]","101","102","104","111","112","117","112","123","101","112"
"[min]","0","0","0","0","0","0","0","0","0","0"
"[max]","101","102","104","111","112","117","112","123","101","112"
"[mean]","59.78217821782178","57.02970297029703","55.257425742574256","62.92079207920792","59.08910891089109","63.05940594059406","60.198019801980195","69.65346534653466","58.28712871287129","66.10891089108911"
"[steps]","100","100","100","100","100","100","100","100","100","100"

"[all run data]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
,"0","0","0","0","0","0","0","0","0","0"
,"14","10","13","13","16","9","10","21","18","19"
,"14","11","13","13","16","9","10","21","18","19"
,"14","13","13","15","19","11","10","27","20","22"
,"14","13","15","16","19","13","10","27","22","24"
,"14","15","15","16","21","15","10","27","23","24"
,"14","15","17","20","21","17","10","27","25","26"
,"16","17","19","21","21","19","11","27","25","26"
,"18","17","23","22","23","19","11","27","25","26"
,"18","17","23","24","25","23","11","27","25","28"
,"18","19","25","24","25","27","15","27","25","28"
,"18","19","25","28","25","27","17","27","25","28"
,"20","19","25","28","25","27","19","29","25","28"
,"22","20","25","30","25","27","21","29","25","30"
,"24","22","25","30","26","27","25","33","25","30"
,"24","24","25","30","27","29","28","33","25","32"
,"24","24","25","30","29","29","28","33","25","37"
,"26","27","25","30","29","29","28","35","25","37"
