"BehaviorSpace results (NetLogo 6.0.2)"
"seperation.nlogo"
"A1"
"02/26/2018 19:58:13:648 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","85","0","85"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"vision","4","4","4","4","4","4","4","4","4","4"
"separation","3","3","3","3","3","3","3","3","3","3"
"max-turn-angle","15","15","15","15","15","15","15","15","15","15"
"num-proactives","0","0","0","0","0","0","0","0","0","0"
"num-reactives","40","40","40","40","40","40","40","40","40","40"
"[reporter]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
"[final]","84","74","63","57","69","76","55","81","76","80"
"[min]","0","0","0","0","0","0","0","0","0","0"
"[max]","84","74","63","57","69","76","55","81","76","80"
"[mean]","41.554455445544555","35.81188118811881","31.475247524752476","32.20792079207921","39.71287128712871","43.59405940594059","25.445544554455445","41.039603960396036","43.23762376237624","37.504950495049506"
"[steps]","100","100","100","100","100","100","100","100","100","100"

"[all run data]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
,"0","0","0","0","0","0","0","0","0","0"
,"2","4","4","8","9","8","0","6","8","6"
,"4","4","4","8","12","8","0","6","11","6"
,"4","4","4","8","12","8","0","6","11","6"
,"4","6","8","8","12","8","0","8","11","6"
,"6","6","8","8","12","10","0","8","12","6"
,"6","6","8","8","16","10","0","10","14","6"
,"6","8","8","10","16","12","2","10","16","8"
,"6","8","8","10","16","12","2","10","17","10"
,"6","8","10","10","16","14","2","10","17","10"
,"10","8","12","10","17","14","4","10","17","11"
,"14","8","12","10","19","14","4","10","17","11"
,"14","8","12","10","21","14","4","10","18","11"
,"14","8","14","12","21","16","4","14","20","11"
,"14","10","14","12","21","18","6","14","20","12"
,"14","10","14","12","21","18","6","16","20","12"
,"14","10","14","12","23","20","6","18","20","12"
,"14","10","14","12","23","22","8","18","20","12"
,"14","11","16","12","23","22","8","18","24","12"
,"14","11","16","12","24","22","8","18","24","12"
