"BehaviorSpace results (NetLogo 6.0.2)"
"seperation.nlogo"
"experiment"
"02/26/2018 19:06:55:497 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","85","0","85"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"vision","4","4","4","4","4","4","4","4","4","4"
"separation","3","3","3","3","3","3","3","3","3","3"
"max-turn-angle","15","15","15","15","15","15","15","15","15","15"
"num-proactives","0","0","0","0","0","0","0","0","0","0"
"num-reactives","40","40","40","40","40","40","40","40","40","40"
"[reporter]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
"[final]","138","126","122","156","129","137","135","135","132","123"
"[min]","0","0","0","0","0","0","0","0","0","0"
"[max]","138","126","122","156","129","137","135","135","132","123"
"[mean]","77.45544554455445","64.36633663366337","65.52475247524752","85.74257425742574","67","74.36633663366337","70.54455445544555","74.88118811881188","64.56435643564356","60.801980198019805"
"[steps]","100","100","100","100","100","100","100","100","100","100"

"[all run data]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
,"0","0","0","0","0","0","0","0","0","0"
,"4","2","0","8","8","8","4","6","4","6"
,"6","4","0","8","8","9","4","6","4","7"
,"6","6","2","10","8","9","6","6","6","7"
,"7","8","2","12","10","9","8","10","8","11"
,"7","10","2","12","10","9","8","10","8","11"
,"9","10","2","14","11","9","10","10","8","11"
,"11","10","2","18","13","9","10","10","8","11"
,"11","10","4","20","15","13","14","14","10","13"
,"15","14","6","20","19","17","16","16","10","17"
,"19","16","8","25","19","17","16","18","10","19"
,"21","16","12","26","21","21","16","20","12","19"
,"21","16","16","28","21","23","16","20","18","21"
,"24","16","16","32","23","26","20","22","18","21"
,"28","19","19","34","23","26","22","24","20","21"
,"28","21","23","34","23","28","26","24","24","21"
,"31","23","24","36","23","28","28","28","24","23"
,"31","23","27","38","23","30","28","28","26","29"
,"35","28","27","42","23","30","28","30","26","29"
,"35","28","27","45","25","30","34","35","26","29"
