"BehaviorSpace results (NetLogo 6.0.2)"
"seperation.nlogo"
"A2"
"02/26/2018 19:46:43:461 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","85","0","85"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"vision","4","4","4","4","4","4","4","4","4","4"
"separation","3","3","3","3","3","3","3","3","3","3"
"max-turn-angle","15","15","15","15","15","15","15","15","15","15"
"num-proactives","40","40","40","40","40","40","40","40","40","40"
"num-reactives","0","0","0","0","0","0","0","0","0","0"
"[reporter]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
"[final]","113","137","112","111","118","95","100","115","119","124"
"[min]","0","0","0","0","0","0","0","0","0","0"
"[max]","113","137","112","111","118","95","100","115","119","124"
"[mean]","58","69.91089108910892","53.43564356435643","57.17821782178218","63.415841584158414","51.95049504950495","54.75247524752475","55.98019801980198","61.95049504950495","65.56435643564356"
"[steps]","100","100","100","100","100","100","100","100","100","100"

"[all run data]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
,"0","0","0","0","0","0","0","0","0","0"
,"2","8","6","4","4","4","4","7","4","4"
,"4","8","6","11","6","8","4","7","4","6"
,"4","8","8","11","6","11","8","7","10","6"
,"4","8","10","11","8","11","8","7","10","12"
,"4","10","10","13","8","11","10","7","10","14"
,"6","10","10","13","13","11","10","9","10","14"
,"6","13","10","13","16","15","12","9","10","18"
,"7","16","10","13","16","16","12","11","10","18"
,"11","20","10","15","18","16","12","12","12","18"
,"11","20","13","15","18","16","16","12","15","18"
,"15","22","13","17","18","19","16","12","15","18"
,"15","22","13","17","22","19","20","12","17","22"
,"15","22","13","19","22","21","22","12","17","22"
,"15","22","13","19","24","21","25","12","17","22"
,"15","24","13","19","26","21","25","12","17","22"
,"15","24","16","21","26","21","25","12","21","24"
,"15","24","18","21","28","21","25","14","21","24"
,"17","28","18","21","30","23","25","14","23","24"
,"17","28","20","21","32","26","29","14","27","28"
