"BehaviorSpace results (NetLogo 6.0.2)"
"seperation.nlogo"
"B1"
"02/26/2018 20:06:03:847 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","85","0","85"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"vision","4","4","4","4","4","4","4","4","4","4"
"separation","3","3","3","3","3","3","3","3","3","3"
"max-turn-angle","15","15","15","15","15","15","15","15","15","15"
"num-proactives","32","32","32","32","32","32","32","32","32","32"
"num-reactives","8","8","8","8","8","8","8","8","8","8"
"velocity","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"[reporter]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
"[final]","38","58","70","54","52","60","52","44","45","62"
"[min]","0","0","0","0","0","0","0","0","0","0"
"[max]","38","58","70","54","52","60","52","44","45","62"
"[mean]","24.396039603960396","26.14851485148515","35.51485148514851","27.792079207920793","27.623762376237625","28.97029702970297","31.138613861386137","19.900990099009903","22.08910891089109","33.336633663366335"
"[steps]","100","100","100","100","100","100","100","100","100","100"

"[all run data]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
,"0","0","0","0","0","0","0","0","0","0"
,"6","0","2","4","6","4","2","4","2","4"
,"6","0","2","4","6","4","2","4","2","4"
,"8","0","2","4","6","4","6","4","2","6"
,"8","0","2","4","6","4","6","8","2","6"
,"10","0","2","4","9","4","6","8","2","8"
,"10","2","2","4","9","6","6","8","2","10"
,"10","2","2","6","9","6","8","8","2","10"
,"10","2","6","6","9","6","8","8","4","12"
,"10","2","7","6","9","6","8","8","4","12"
,"10","2","7","8","9","8","8","8","4","12"
,"12","2","7","10","9","8","8","8","4","12"
,"12","2","7","12","9","8","14","8","4","12"
,"12","4","7","12","9","8","14","8","4","12"
,"12","4","11","12","10","10","17","8","4","12"
,"12","6","11","12","10","12","17","8","4","13"
,"12","8","11","12","10","12","17","8","4","13"
,"12","8","13","12","10","12","17","8","4","13"
