"BehaviorSpace results (NetLogo 6.0.2)"
"seperation.nlogo"
"A1"
"02/26/2018 20:55:24:038 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","85","0","85"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"vision","4","4","4","4","4","4","4","4","4","4"
"separation","3","3","3","3","3","3","3","3","3","3"
"max-turn-angle","15","15","15","15","15","15","15","15","15","15"
"num-proactives","0","0","0","0","0","0","0","0","0","0"
"num-reactives","40","40","40","40","40","40","40","40","40","40"
"velocity","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"[reporter]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
"[final]","82","63","78","68","67","83","53","58","59","76"
"[min]","0","0","0","0","0","0","0","0","0","0"
"[max]","82","63","78","68","67","83","53","58","59","76"
"[mean]","43.06930693069307","37.87128712871287","40.01980198019802","36.772277227722775","28.554455445544555","44.31683168316832","25.237623762376238","30.524752475247524","27.366336633663366","41.31683168316832"
"[steps]","100","100","100","100","100","100","100","100","100","100"

"[all run data]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
,"0","0","0","0","0","0","0","0","0","0"
,"10","10","6","2","4","4","0","4","6","12"
,"10","12","8","2","4","6","0","4","7","12"
,"10","12","8","2","4","8","0","4","7","12"
,"12","12","8","2","4","8","4","6","7","12"
,"14","12","8","2","4","10","4","6","9","12"
,"14","12","8","2","4","10","4","6","9","12"
,"14","12","10","2","4","10","4","6","10","12"
,"14","14","10","4","5","10","4","6","10","12"
,"14","14","12","6","8","10","7","8","10","14"
,"18","14","12","8","8","12","7","9","10","14"
,"21","14","16","8","8","12","7","9","12","15"
,"21","14","16","8","10","12","7","9","12","17"
,"21","14","16","10","10","14","9","11","12","17"
,"21","16","16","12","13","16","9","13","12","17"
,"21","18","17","13","13","16","9","13","12","17"
,"21","18","17","13","13","18","9","13","12","17"
,"21","18","17","13","14","20","9","15","12","17"
