"BehaviorSpace results (NetLogo 6.0.2)"
"seperation.nlogo"
"B1"
"02/26/2018 20:55:35:591 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","85","0","85"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"vision","4","4","4","4","4","4","4","4","4","4"
"separation","3","3","3","3","3","3","3","3","3","3"
"max-turn-angle","15","15","15","15","15","15","15","15","15","15"
"num-proactives","32","32","32","32","32","32","32","32","32","32"
"num-reactives","8","8","8","8","8","8","8","8","8","8"
"velocity","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"[reporter]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
"[final]","54","67","33","60","48","57","46","51","64","73"
"[min]","0","0","0","0","0","0","0","0","0","0"
"[max]","54","67","33","60","48","57","46","51","64","73"
"[mean]","32.198019801980195","42.42574257425743","14.603960396039604","27.099009900990097","29","33.01980198019802","29.980198019801982","29.940594059405942","33.82178217821782","39.35643564356435"
"[steps]","100","100","100","100","100","100","100","100","100","100"

"[all run data]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
,"0","0","0","0","0","0","0","0","0","0"
,"8","10","0","0","10","10","8","10","9","8"
,"9","10","0","0","10","10","8","10","9","8"
,"10","12","0","2","12","10","9","10","9","8"
,"10","12","2","2","12","10","9","10","10","8"
,"12","12","2","2","12","10","9","10","10","10"
,"12","12","2","2","12","10","10","10","13","10"
,"12","12","2","2","12","10","10","10","14","12"
,"12","12","2","2","14","10","11","10","14","14"
,"12","12","2","2","14","10","13","10","14","16"
,"12","14","2","2","14","10","13","10","14","16"
,"12","16","2","4","14","10","13","10","14","16"
,"12","20","2","4","16","16","15","10","14","16"
,"12","20","2","4","16","18","15","10","14","16"
,"12","22","2","4","16","18","15","12","14","16"
,"12","22","2","4","16","20","15","14","14","20"
,"12","22","2","4","18","20","15","14","14","20"
,"12","22","2","6","18","20","15","16","14","20"
