"BehaviorSpace results (NetLogo 6.0.2)"
"seperation.nlogo"
"SA-maxangle"
"02/28/2018 14:31:20:570 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","85","0","85"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"vision","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"separation","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"max-turn-angle","14.25","14.25","14.25","14.25","14.25","14.25","14.25","14.25","14.25","14.25","15","15","15","15","15","15","15","15","15","15","15.75","15.75","15.75","15.75","15.75","15.75","15.75","15.75","15.75","15.75"
"num-proactives","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40"
"num-reactives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"velocity","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"[reporter]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
"[final]","65","57","48","60","55","64","62","40","49","38","42","40","45","48","53","53","57","58","45","37","49","47","62","48","59","63","36","38","45","37"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","65","57","48","60","55","64","62","40","49","38","42","40","45","48","53","53","57","58","45","37","49","47","62","48","59","63","36","38","45","37"
"[mean]","34.227722772277225","28.26732673267327","24.762376237623762","28.77227722772277","30.10891089108911","29.475247524752476","34.78217821782178","25.465346534653467","25.099009900990097","24.099009900990097","21.405940594059405","21.574257425742573","27.663366336633665","27.217821782178216","28.287128712871286","33.227722772277225","24.88118811881188","32.01980198019802","22.485148514851485","19.673267326732674","22.742574257425744","24.495049504950494","36.97029702970297","20.247524752475247","33.92079207920792","35.18811881188119","19.623762376237625","22.900990099009903","23.15841584158416","23.514851485148515"
"[steps]","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"

"[all run data]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"6","2","4","5","4","6","5","4","4","6","4","4","9","4","8","4","0","11","7","7","6","2","6","2","8","8","7","6","8","6"
,"8","2","4","7","6","7","6","5","4","6","4","4","9","4","8","7","0","11","7","7","6","2","6","2","8","8","7","8","8","8"
,"8","4","4","7","6","7","8","5","4","6","4","4","9","8","8","7","0","13","7","7","6","2","6","2","8","9","7","8","8","8"
,"8","4","4","7","6","7","8","6","4","8","4","4","9","8","10","7","0","13","7","7","6","2","6","2","12","9","7","8","8","8"
,"12","4","4","7","6","7","8","8","6","8","4","6","9","8","10","7","0","13","7","9","6","4","10","2","15","9","7","8","8","8"
,"12","4","4","7","8","7","8","8","6","8","5","6","9","8","10","9","2","13","7","9","6","4","10","2","15","9","7","8","8","8"
,"14","4","4","7","8","7","8","8","8","8","5","8","10","8","10","9","2","13","7","9","8","4","10","2","15","9","7","8","8","8"
,"14","6","4","7","8","7","8","10","8","8","5","12","11","9","10","9","2","13","7","11","8","4","10","2","15","9","7","9","8","8"
,"16","6","4","9","8","7","8","10","10","8","5","12","11","11","10","9","2","13","8","11","8","4","12","2","15","9","7","9","8","10"
,"16","8","4","11","8","7","8","10","10","8","5","12","11","11","10","11","2","13","8","11","8","4","12","2","15","9","7","11","10","10"
,"16","8","4","11","8","8","10","10","10","8","5","12","12","11","12","11","2","13","8","11","10","6","16","2","17","11","7","11","10","12"
,"17","10","4","11","8","8","10","10","11","8","7","12","14","11","12","13","4","13","8","11","10","8","16","2","17","13","7","11","10","12"
,"17","10","4","13","8","8","10","11","11","8","9","13","14","14","12","15","4","13","8","11","10","8","16","2","17","13","7","11","10","12"
,"17","10","4","13","8","8","12","11","13","10","9","13","14","14","12","15","4","13","8","11","10","10","16","2","17","13","9","13","10","12"
,"17","12","4","13","8","8","14","15","13","10","10","13","14","14","12","15","4","13","8","11","10","12","16","2","17","15","9","13","10","12"
,"17","12","4","15","8","8","14","17","13","10","10","13","14","14","12","15","4","13","8","11","10","12","16","2","17","15","9","13","12","14"
,"17","12","8","15","8","10","14","17","13","10","10","13","14","14","12","17","8","17","8","11","10","12","16","2","17","15","9","13","12","14"
,"17","14","8","15","8","10","16","17","13","10","10","13","14","14","12","17","10","17","8","13","10","14","18","2","17","15","9","13","12","14"
,"17","14","8","15","10","13","16","17","13","12","10","13","14","14","12","19","10","17","8","13","10","14","18","2","19","15","9","13","12","14"
,"19","14","10","17","10","15","16","17","13","13","10","13","16","14","12","20","10","17","8","13","10","14","20","2","19","15","9","13","14","14"
,"19","14","10","17","10","15","16","18","15","13","10","13","18","14","12","20","10","17","8","15","10","14","20","2","19","16","9","13","16","14"
,"19","16","10","17","10","15","22","18","15","13","10","13","18","14","12","21","10","17","8","15","12","14","20","2","19","16","11","13","16","14"
,"19","16","10","17","10","17","23","18","15","13","10","13","18","14","12","21","10","17","10","15","12","14","22","2","19","18","11","13","16","14"
,"19","16","10","17","10","17","24","18","15","13","10","13","18","16","12","23","12","17","12","15","12","14","22","4","20","18","11","13","16","16"
,"19","18","10","17","12","17","24","18","15","13","10","13","18","16","14","23","12","17","12","15","12","14","26","4","20","18","11","13","16","16"
,"19","18","12","17","12","19","24","18","15","13","10","13","19","16","14","23","12","17","12","15","12","14","26","4","20","18","11","15","16","16"
,"21","20","12","17","14","19","24","18","15","13","10","13","19","16","14","23","12","17","12","15","14","14","28","4","20","18","11","15","16","16"
,"21","20","16","19","14","19","24","18","15","13","10","13","21","16","14","23","14","17","12","15","14","14","28","6","20","18","13","15","16","18"
,"21","20","16","21","14","19","26","18","15","13","10","13","21","16","14","25","14","17","12","15","15","14","28","6","20","18","13","15","16","18"
,"21","20","16","21","16","19","26","20","17","13","10","13","21","16","14","25","14","17","12","15","15","14","28","6","20","20","13","15","16","18"
,"23","21","18","21","16","21","28","20","17","13","12","13","21","16","14","27","14","19","12","15","15","14","30","6","20","22","13","15","16","18"
,"23","21","18","21","16","21","28","20","17","15","12","13","23","20","16","27","14","19","12","15","15","14","30","6","22","22","13","15","16","18"
,"23","21","18","21","18","21","28","22","18","17","12","13","25","20","16","27","14","19","14","15","15","16","30","6","22","26","13","16","16","18"
,"23","21","20","21","20","21","28","22","18","20","12","13","25","20","16","28","14","21","14","15","15","16","34","6","22","26","13","16","16","18"
,"24","21","20","21","20","21","30","22","18","20","12","13","27","20","16","28","14","23","16","15","17","16","36","8","22","26","13","16","16","18"
,"24","21","20","23","20","23","30","22","20","20","12","13","27","22","18","28","14","25","16","17","17","16","36","8","22","28","13","20","16","18"
,"24","21","20","23","20","23","30","22","20","20","12","13","27","24","20","28","14","25","16","17","19","16","36","10","22","30","13","20","16","18"
,"26","21","22","23","22","23","30","22","20","20","14","13","27","24","20","28","14","27","18","17","19","16","36","10","22","31","13","22","16","18"
,"28","23","22","23","22","23","30","24","20","20","14","13","27","24","22","28","14","27","18","17","19","18","36","10","22","33","15","24","16","18"
,"28","23","22","23","22","23","32","24","20","20","16","13","27","24","22","28","14","27","18","17","19","20","36","11","24","33","15","24","16","18"
,"28","25","22","23","25","23","33","24","20","20","16","13","27","24","22","30","16","27","20","17","19","22","36","11","26","33","15","24","16","18"
,"29","26","22","23","27","23","34","24","22","22","16","13","27","28","22","30","16","27","20","17","19","22","36","11","26","33","15","24","16","18"
,"29","26","22","23","27","23","34","24","22","22","16","13","27","28","24","32","18","27","20","17","19","22","36","11","26","35","15","24","16","22"
,"33","26","22","23","28","23","34","24","22","22","16","13","27","28","24","32","18","28","20","17","19","22","36","11","26","35","17","24","16","22"
,"36","26","22","23","28","25","34","24","22","22","16","13","27","30","26","32","18","28","22","19","19","22","36","13","26","35","17","24","16","22"
,"36","26","22","25","30","25","34","24","22","24","16","13","29","30","26","32","18","29","22","19","19","22","36","17","29","35","17","24","18","24"
,"36","26","24","25","30","25","34","24","24","24","18","15","29","30","26","32","18","29","22","19","21","22","36","17","31","35","19","24","18","24"
,"37","26","24","25","34","27","34","24","24","24","18","17","29","30","26","33","22","29","22","19","22","24","36","17","31","35","19","24","18","24"
