"BehaviorSpace results (NetLogo 6.0.2)"
"seperation.nlogo"
"SA-num-agents"
"02/28/2018 13:42:01:862 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","85","0","85"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"vision","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"separation","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"max-turn-angle","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"num-proactives","38","38","38","38","38","38","38","38","38","38","40","40","40","40","40","40","40","40","40","40","42","42","42","42","42","42","42","42","42","42"
"num-reactives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"velocity","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"[reporter]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
"[final]","42","35","54","55","45","55","43","47","51","44","46","42","35","63","67","35","60","47","67","35","67","43","57","61","61","61","39","53","73","50"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","42","35","54","55","45","55","43","47","51","44","46","42","35","63","67","35","60","47","67","35","67","43","57","61","61","61","39","53","73","50"
"[mean]","22.722772277227723","24.980198019801982","30.564356435643564","28.346534653465348","24.722772277227723","24.752475247524753","23.277227722772277","23.77227722772277","30.762376237623762","22.07920792079208","25.742574257425744","24.96039603960396","23.663366336633665","31.435643564356436","34.198019801980195","23.91089108910891","33.57425742574257","28.217821782178216","35.64356435643565","21.831683168316832","28.97029702970297","22.237623762376238","28.99009900990099","38.71287128712871","37.524752475247524","36.64356435643565","20.00990099009901","33.83168316831683","39.82178217821782","31.871287128712872"
"[steps]","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"

"[all run data]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"6","8","12","6","4","4","4","6","4","4","4","4","11","0","6","9","8","6","8","4","2","6","4","6","12","6","4","9","8","9"
,"6","8","12","7","4","4","6","6","4","4","4","4","11","0","6","11","10","8","8","4","2","6","4","6","12","6","4","11","10","11"
,"6","8","13","7","6","4","6","6","6","4","4","4","11","0","8","11","10","8","9","6","2","6","4","6","12","6","4","11","10","11"
,"6","8","13","7","6","4","6","6","6","4","6","5","12","2","8","11","10","8","10","6","2","6","4","6","14","7","4","11","10","11"
,"6","10","14","7","6","4","6","6","8","6","6","6","12","2","8","14","10","10","10","6","2","6","4","6","14","7","4","11","10","13"
,"6","11","14","7","6","4","6","6","8","6","8","6","12","4","8","14","12","10","12","6","4","6","4","6","20","7","4","11","10","13"
,"6","13","14","7","8","4","6","6","8","6","8","6","12","6","8","14","12","12","12","6","4","6","4","10","20","7","4","11","12","13"
,"6","13","14","9","8","5","8","6","8","6","10","7","12","6","8","14","12","14","12","6","4","6","4","10","20","7","4","11","13","17"
,"6","13","14","9","8","5","10","6","8","6","10","7","12","7","8","14","14","14","12","6","4","6","4","12","20","9","4","11","13","17"
,"6","15","14","9","8","7","10","6","8","6","10","9","12","7","8","14","14","14","12","8","6","6","4","14","20","11","4","11","13","17"
,"6","15","14","10","10","7","10","6","8","6","10","9","12","7","12","14","16","14","12","8","6","6","4","14","20","13","4","11","13","17"
,"6","15","14","10","10","9","10","8","12","8","10","9","12","7","12","14","16","14","12","8","6","6","4","18","20","15","4","11","13","17"
,"6","15","14","10","10","9","10","8","12","8","10","9","12","7","12","14","16","14","12","8","6","6","4","18","22","15","4","11","13","19"
,"6","15","16","10","10","9","12","8","12","8","10","9","12","7","12","14","16","14","12","10","6","6","6","19","22","16","4","13","15","19"
,"8","15","16","10","10","9","12","8","12","8","10","9","12","7","12","14","16","14","12","10","6","6","6","19","22","16","6","13","17","19"
,"8","15","16","10","10","9","12","8","12","10","10","11","12","7","14","14","16","14","16","10","8","6","6","19","22","16","8","13","19","19"
,"8","17","16","10","10","9","12","8","14","10","10","15","12","7","14","14","18","14","16","12","8","6","8","19","22","16","8","13","19","19"
,"8","17","18","10","10","9","12","8","17","10","11","15","14","10","16","14","18","14","16","12","8","8","10","19","22","20","8","13","19","19"
,"8","17","18","12","10","9","12","10","19","10","11","15","16","12","16","16","18","14","18","12","8","8","12","19","24","20","8","17","19","19"
,"8","17","18","12","10","9","12","10","20","10","11","17","16","12","16","16","18","14","20","12","8","8","12","20","26","21","8","17","19","19"
,"9","17","18","12","10","9","12","10","20","10","11","17","16","12","16","16","19","14","20","12","10","8","12","22","26","23","8","17","19","19"
,"9","19","20","14","10","9","12","12","20","10","11","17","16","14","18","16","19","14","21","12","10","8","13","22","26","24","8","19","19","21"
,"11","19","22","14","12","11","12","12","20","10","11","17","16","15","18","16","20","16","21","12","10","8","13","24","26","24","8","19","22","21"
,"11","19","23","14","12","11","12","13","20","10","11","17","16","15","18","18","20","18","22","12","10","8","13","24","29","24","10","21","24","21"
,"11","21","23","16","12","11","12","15","22","10","11","17","20","15","20","20","20","18","24","12","14","10","15","24","29","24","10","21","24","21"
,"11","22","25","16","12","13","12","15","24","10","11","17","20","19","20","20","20","19","24","12","16","10","15","26","29","26","10","21","24","21"
,"11","24","25","16","14","13","12","15","24","10","11","17","20","19","20","20","20","19","24","12","16","10","17","26","29","26","10","21","26","21"
,"13","24","25","16","14","14","12","15","24","10","15","17","20","21","20","20","20","19","26","12","18","10","17","26","29","26","12","21","26","21"
,"13","24","25","16","14","14","12","15","24","10","17","17","20","23","20","20","20","21","26","12","20","14","18","26","29","27","12","21","26","21"
,"13","24","25","16","14","14","12","15","24","10","17","17","20","23","20","20","22","22","26","12","20","14","18","26","29","27","12","23","26","23"
,"13","24","25","19","16","14","12","17","26","10","17","17","20","23","20","20","24","22","26","12","20","14","18","28","31","29","12","23","26","23"
,"13","24","25","21","16","14","12","17","26","10","17","17","20","23","20","20","24","22","26","14","20","14","18","28","31","29","12","25","26","23"
,"13","24","25","21","16","16","12","17","26","12","17","17","20","23","22","20","24","23","26","16","22","16","18","28","33","29","12","25","26","23"
,"13","25","27","21","16","16","12","17","26","14","17","19","20","24","22","20","26","23","26","16","22","16","20","28","33","29","12","27","26","23"
,"13","25","27","21","16","16","14","17","26","14","17","21","20","26","24","20","28","23","26","18","22","16","20","28","33","29","12","27","26","23"
,"13","25","27","21","18","16","14","17","26","14","19","21","22","26","24","22","28","23","26","18","22","16","20","28","33","31","12","27","28","23"
,"15","25","27","21","18","16","16","17","28","14","19","21","22","26","24","22","28","23","26","18","22","18","20","28","34","31","14","27","30","25"
,"17","25","27","21","20","16","16","17","28","14","21","23","22","30","24","22","28","23","26","19","22","18","22","28","34","32","16","27","30","27"
,"19","25","27","21","20","16","22","19","28","14","21","23","22","30","24","22","28","23","26","19","22","18","22","32","36","32","16","29","30","27"
,"19","25","27","21","20","16","22","19","28","16","21","23","22","30","24","23","32","23","26","19","24","20","25","34","39","32","16","31","32","29"
,"19","25","29","21","20","16","22","19","30","18","21","23","22","30","26","23","32","23","26","19","24","22","25","34","41","34","16","33","34","29"
,"19","25","29","21","20","18","23","19","30","18","23","23","22","30","28","23","32","23","26","19","24","22","25","34","41","36","16","33","34","29"
,"21","25","29","21","20","18","23","19","32","18","25","25","22","30","30","23","34","23","28","19","24","22","25","34","41","36","16","33","34","31"
,"21","25","31","21","20","18","23","21","32","20","25","25","24","30","32","23","34","27","30","21","24","22","27","34","41","38","16","33","34","31"
,"21","25","31","21","22","26","23","21","33","22","25","25","24","30","32","23","34","29","32","21","24","22","27","34","41","38","18","35","36","31"
,"23","25","33","23","22","26","23","21","33","22","25","25","24","31","32","23","34","29","34","21","26","22","29","38","41","38","20","35","38","31"
,"23","25","33","25","22","26","23","21","35","22","25","25","26","31","32","23","34","29","34","21","26","22","29","39","41","38","20","35","38","33"
,"23","25","33","25","22","26","23","23","35","22","25","27","26","31","32","23","34","29","34","21","26","22","29","41","41","38","20","36","42","33"
,"25","25","33","25","22","26","23","24","35","22","25","27","26","31","34","23","34","29","35","23","28","22","29","41","41","40","20","38","44","35"
