"BehaviorSpace results (NetLogo 6.0.2)"
"seperation.nlogo"
"SA-separation"
"02/28/2018 14:31:16:048 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","85","0","85"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"vision","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"separation","2.85","2.85","2.85","2.85","2.85","2.85","2.85","2.85","2.85","2.85","3","3","3","3","3","3","3","3","3","3","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15","3.15"
"max-turn-angle","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"num-proactives","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40"
"num-reactives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"velocity","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"[reporter]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
"[final]","37","41","43","52","54","44","48","45","49","49","47","53","43","44","32","54","52","48","51","27","31","50","71","58","52","50","54","44","56","43"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","37","41","43","52","54","44","48","45","49","49","47","53","43","44","32","54","52","48","51","27","31","50","71","58","52","50","54","44","56","43"
"[mean]","22.297029702970296","21.277227722772277","27.623762376237625","28.91089108910891","33.633663366336634","26.504950495049506","22.02970297029703","26.534653465346533","32.65346534653465","25.04950495049505","24.514851485148515","31.475247524752476","22.861386138613863","26.831683168316832","20.316831683168317","35.554455445544555","29.346534653465348","27.168316831683168","37.524752475247524","17.831683168316832","18.574257425742573","26.257425742574256","36.495049504950494","31.405940594059405","30.455445544554454","26.554455445544555","29.376237623762375","25.14851485148515","33.227722772277225","23.08910891089109"
"[steps]","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"

"[all run data]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"5","4","11","4","4","9","0","8","12","4","8","5","2","4","4","9","6","2","10","8","6","8","6","8","6","4","4","0","4","4"
,"7","4","11","4","4","9","2","9","12","4","8","6","2","4","4","11","6","4","13","8","6","8","6","8","6","4","4","0","4","4"
,"7","4","13","4","4","9","4","9","12","4","8","6","2","4","6","11","6","6","13","8","6","8","6","8","6","6","6","0","4","4"
,"7","4","13","4","4","9","4","9","12","4","8","6","2","4","6","11","6","6","15","11","6","8","6","8","6","6","8","0","6","4"
,"7","4","13","4","4","9","4","9","12","4","8","6","2","4","6","13","8","6","15","11","6","10","6","8","6","6","8","0","6","4"
,"7","4","13","4","8","9","4","11","12","4","8","6","4","4","6","14","8","6","15","11","6","10","6","8","6","6","8","0","7","4"
,"7","4","13","4","10","11","4","11","12","4","8","8","6","4","6","14","9","7","17","11","6","10","6","8","6","6","8","2","7","4"
,"9","4","13","4","10","11","4","11","12","4","11","8","6","6","6","15","9","7","17","11","6","10","6","10","6","9","8","2","8","4"
,"11","4","13","4","14","11","4","11","14","6","11","8","6","6","7","15","9","7","17","11","10","10","8","12","6","9","10","2","10","6"
,"11","4","13","4","14","11","4","11","14","6","11","10","7","8","7","15","9","7","17","11","10","10","8","13","8","10","10","4","10","10"
,"11","4","13","4","14","11","4","11","14","6","11","10","7","8","7","17","9","7","17","11","10","10","8","13","8","10","10","4","12","10"
,"11","4","13","6","15","11","6","11","14","7","11","10","11","8","7","17","9","7","17","11","10","10","8","13","10","10","10","6","12","10"
,"11","4","15","9","17","11","6","11","14","7","11","12","11","12","7","17","9","10","19","11","10","12","10","13","10","12","10","6","12","10"
,"11","4","17","9","17","13","6","11","16","7","11","12","11","12","7","17","9","12","19","13","10","12","12","13","12","12","10","6","12","10"
,"11","4","17","11","17","15","6","11","16","7","11","14","11","13","9","17","11","12","21","13","10","14","12","13","12","12","10","6","12","10"
,"11","4","17","11","17","15","8","11","16","7","11","16","11","13","9","17","11","13","21","13","10","14","12","13","12","12","12","6","14","10"
,"11","4","17","11","17","15","8","11","18","9","11","16","11","13","9","17","13","13","21","13","10","14","13","15","12","12","14","6","14","10"
