"BehaviorSpace results (NetLogo 6.0.2)"
"seperation.nlogo"
"SA-speed"
"02/28/2018 14:31:26:365 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","85","0","85"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"vision","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"separation","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"max-turn-angle","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"num-proactives","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40"
"num-reactives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"velocity","0.475","0.475","0.475","0.475","0.475","0.475","0.475","0.475","0.475","0.475","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.525","0.525","0.525","0.525","0.525","0.525","0.525","0.525","0.525","0.525"
"[reporter]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
"[final]","44","43","61","49","53","40","33","52","38","58","56","59","40","47","52","47","47","31","44","58","50","48","44","38","60","64","63","45","48","68"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","44","43","61","49","53","40","33","52","38","58","56","59","40","47","52","47","47","31","44","58","50","48","44","38","60","64","63","45","48","68"
"[mean]","25.524752475247524","19.623762376237625","36.495049504950494","28.138613861386137","31.18811881188119","25.633663366336634","19.257425742574256","27.633663366336634","23.693069306930692","33.495049504950494","34.960396039603964","28.861386138613863","22.00990099009901","29.821782178217823","25.73267326732673","28.138613861386137","23.217821782178216","19.85148514851485","25.04950495049505","32.05940594059406","30.801980198019802","28.376237623762375","25.91089108910891","17.405940594059405","36.7029702970297","37.67326732673267","31.415841584158414","21.07920792079208","25.752475247524753","33.32673267326733"
"[steps]","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"

"[all run data]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"6","4","10","8","9","4","4","4","9","6","8","2","6","6","5","6","2","4","7","6","8","9","6","2","6","6","10","4","4","8"
,"6","4","12","9","9","4","4","6","9","9","10","2","6","8","5","6","2","4","7","6","8","9","7","2","6","8","12","6","4","8"
,"6","4","12","9","9","4","4","6","9","10","10","2","6","8","5","6","2","4","9","6","8","9","7","4","6","8","12","6","4","8"
,"6","4","12","9","11","6","4","6","9","10","10","2","6","10","5","6","2","5","11","6","8","9","7","4","8","8","12","6","4","10"
,"6","4","14","9","11","6","4","8","9","13","10","4","6","10","5","6","2","5","13","6","8","9","9","4","8","12","12","6","4","10"
,"8","4","14","9","11","6","4","8","9","13","10","4","6","10","8","6","2","5","13","8","8","9","11","4","8","12","12","6","4","10"
,"8","4","14","10","11","6","4","8","9","13","10","4","8","10","9","6","2","7","13","8","8","9","11","4","12","14","12","6","4","10"
,"8","4","15","10","11","8","4","8","9","13","12","6","8","10","9","6","2","9","13","8","8","9","11","4","12","14","12","6","4","11"
,"8","4","15","10","11","8","4","8","9","15","12","8","8","10","10","6","2","9","13","8","10","9","11","4","12","14","12","6","4","11"
,"8","4","17","10","13","8","4","8","9","15","12","8","8","10","10","8","2","9","13","8","10","9","13","5","12","14","12","6","4","11"
,"10","6","19","10","13","8","4","8","9","15","12","8","8","10","12","8","2","9","13","8","12","9","13","5","12","16","12","6","4","11"
,"10","6","21","12","15","8","8","10","9","15","12","8","8","10","12","10","2","9","13","10","12","9","13","7","12","16","12","6","4","11"
,"10","6","21","12","15","8","8","10","9","15","14","8","8","10","13","10","2","11","13","10","12","9","13","7","12","16","14","8","4","11"
,"10","6","21","12","15","8","8","10","11","17","14","8","8","10","13","10","2","11","13","12","12","9","13","7","12","17","14","8","4","13"
,"10","6","21","14","15","12","8","12","11","17","14","8","8","10","14","10","4","11","13","12","14","9","13","7","12","17","16","10","6","13"
,"10","6","23","14","15","12","8","12","12","17","14","8","8","10","14","10","4","11","13","14","14","11","13","7","12","19","16","10","8","15"
,"12","6","24","14","15","12","8","12","12","17","16","8","8","10","14","10","4","11","15","16","14","13","13","9","12","19","16","12","8","15"
,"12","6","24","16","15","15","8","12","12","19","20","8","8","12","14","12","4","11","15","17","14","13","13","9","12","19","16","12","9","15"
,"12","6","24","16","15","15","8","12","12","19","20","8","8","16","14","12","4","15","15","17","16","13","13","9","17","19","16","12","9","17"
,"14","8","24","16","15","15","8","14","12","19","20","10","8","18","14","14","4","15","15","18","16","15","13","9","19","19","16","13","9","17"
,"14","8","24","16","15","15","10","14","12","19","21","10","8","18","16","14","4","15","15","18","16","15","17","9","19","19","18","13","9","17"
,"14","8","24","16","15","17","12","14","14","19","21","10","8","18","16","14","8","15","15","18","18","15","17","11","19","21","18","13","9","17"
,"14","8","27","18","15","17","12","14","14","21","21","12","10","18","16","14","8","15","17","18","18","15","17","11","19","21","18","13","9","17"
,"16","8","27","18","17","17","12","14","14","21","25","12","10","18","16","14","10","15","17","19","18","15","17","11","19","23","18","14","11","17"
,"16","10","27","18","19","17","12","16","14","21","29","12","12","18","16","14","10","15","17","19","22","17","19","11","21","23","18","15","11","17"
,"16","10","27","18","19","17","12","16","14","23","29","12","12","18","16","16","10","17","17","19","22","17","19","11","21","23","18","15","13","17"
,"16","10","27","18","21","17","12","16","14","23","29","14","12","20","16","16","10","17","17","19","24","17","19","11","21","23","18","15","13","21"
,"16","10","29","18","21","21","12","16","14","27","29","14","12","20","16","16","10","17","17","19","24","19","19","13","21","23","18","15","15","21"
,"16","10","29","18","23","21","14","19","16","27","29","16","12","20","16","20","11","17","17","21","26","19","20","13","23","25","18","15","17","21"
,"16","10","29","18","25","21","14","19","16","27","29","16","12","20","16","20","11","17","17","21","26","19","20","13","24","25","20","15","17","21"
,"20","12","29","18","26","21","16","19","18","27","29","20","12","20","16","20","11","17","17","21","28","19","20","13","24","26","20","15","17","21"
,"20","12","29","18","26","23","16","21","18","27","29","20","16","20","16","20","13","17","17","21","28","23","20","13","26","26","20","15","18","21"
,"22","12","29","18","26","23","18","21","18","27","29","20","16","24","18","22","13","17","17","21","28","23","22","13","28","26","22","15","18","23"
,"24","12","29","20","26","23","19","21","18","27","29","20","16","24","19","24","15","17","17","23","28","25","22","13","28","26","22","15","18","23"
,"24","12","29","22","26","23","19","21","18","27","29","20","16","24","19","24","15","17","19","25","28","25","22","13","34","28","24","15","18","23"
,"24","12","29","22","26","25","19","21","18","27","29","24","16","24","19","24","19","17","19","25","28","27","22","13","36","28","24","15","18","23"
,"24","12","29","24","26","26","19","21","18","27","31","24","16","24","19","24","19","17","20","25","28","27","22","13","36","30","24","15","20","23"
,"24","12","29","24","28","26","19","21","20","29","31","24","16","24","19","26","19","19","20","25","28","27","24","13","37","30","25","15","22","23"
,"24","12","29","24","28","26","19","21","20","29","31","28","16","26","19","26","19","19","20","25","28","27","24","13","37","30","25","15","24","25"
,"24","12","29","24","31","26","19","21","22","29","31","28","18","28","21","26","21","19","20","25","28","27","24","13","37","32","25","17","24","25"
,"25","12","31","24","31","26","19","24","22","31","33","28","18","28","21","28","23","19","20","25","30","27","24","13","37","32","27","17","24","25"
,"25","12","32","24","31","26","19","24","22","31","33","28","18","28","21","28","23","19","20","27","30","29","24","15","37","33","27","17","24","25"
,"25","12","32","24","31","26","19","26","22","31","33","28","18","30","23","28","23","19","20","27","30","29","24","15","37","35","27","17","24","26"
,"25","12","34","24","31","26","19","26","24","31","33","28","18","32","23","28","23","21","20","27","32","31","24","15","37","35","27","17","24","26"
,"25","12","34","24","31","26","19","26","24","31","35","28","18","32","24","28","23","21","22","27","32","31","24","15","39","35","27","17","24","26"
,"27","14","34","26","33","26","19","28","24","31","35","28","18","32","24","28","23","21","22","27","34","31","24","15","39","35","27","17","24","28"
,"27","14","35","26","33","26","19","28","24","31","35","28","18","32","24","28","25","21","24","29","34","31","24","15","41","37","27","17","24","28"
,"27","14","35","26","33","26","19","28","24","33","35","28","20","36","24","30","25","21","24","31","34","31","26","15","42","37","27","18","28","28"
,"27","16","35","26","33","26","21","28","24","33","35","28","20","36","24","30","25","21","24","31","35","33","26","15","42","37","27","18","28","30"
