"BehaviorSpace results (NetLogo 6.0.2)"
"seperation.nlogo"
"SA-vision"
"02/28/2018 14:31:11:202 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","85","0","85"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"vision","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","4","4","4","4","4","4","4","4","4","4","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2"
"separation","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"max-turn-angle","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"num-proactives","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40"
"num-reactives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"velocity","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"[reporter]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
"[final]","51","68","42","61","47","53","54","54","50","71","58","39","42","49","51","45","55","26","38","53","44","45","38","41","25","48","41","52","46","45"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","51","68","42","61","47","53","54","54","50","71","58","39","42","49","51","45","55","26","38","53","44","45","38","41","25","48","41","52","46","45"
"[mean]","26.643564356435643","33.2970297029703","28.06930693069307","36.17821782178218","27.742574257425744","24.73267326732673","30.900990099009903","26.237623762376238","30.633663366336634","37.56435643564357","34.81188118811881","19.306930693069308","24.04950495049505","27.445544554455445","28.613861386138613","27.871287128712872","30.336633663366335","14.930693069306932","18.762376237623762","29.11881188118812","29.524752475247524","21.940594059405942","21.465346534653467","22.504950495049506","14.613861386138614","24.168316831683168","24.04950495049505","27.128712871287128","28.81188118811881","27.059405940594058"
"[steps]","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"

"[all run data]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"4","2","6","12","7","0","9","10","4","8","8","2","4","2","8","6","6","2","6","4","14","6","7","4","9","11","2","2","4","8"
,"4","8","6","12","7","2","9","10","5","10","10","2","4","4","8","8","6","2","6","4","14","7","9","6","9","11","2","2","4","8"
,"4","8","7","12","7","4","9","10","5","10","10","2","4","4","8","10","8","2","6","6","14","7","9","6","9","11","2","2","4","8"
,"4","10","7","12","9","4","9","10","5","10","10","2","4","6","8","10","8","2","6","6","15","7","9","6","9","11","2","3","4","8"
,"4","10","7","12","10","4","9","10","6","10","12","2","4","8","8","12","9","2","6","6","16","7","11","7","9","11","4","3","4","8"
,"4","12","7","12","11","4","11","10","8","10","12","2","4","8","9","12","9","2","6","6","16","7","11","7","11","12","4","5","4","8"
,"4","12","7","12","11","4","11","12","8","12","12","2","4","8","11","12","9","2","6","8","16","7","11","9","11","12","4","5","4","8"
,"5","12","7","12","11","4","11","12","10","12","14","2","4","8","11","12","9","2","6","8","16","7","11","9","11","12","4","6","4","10"
,"5","12","7","12","11","4","13","14","10","14","16","4","4","8","11","14","9","2","6","8","17","9","11","9","11","12","6","8","4","10"
,"5","12","7","12","11","4","13","16","10","14","16","6","4","10","11","14","9","2","6","8","19","9","11","9","11","12","6","8","4","10"
,"5","12","7","14","11","4","13","16","10","14","16","6","4","10","13","14","9","4","6","8","19","9","11","9","11","12","8","10","4","10"
,"5","12","9","14","11","4","13","16","12","14","16","6","4","10","15","14","9","6","6","10","19","9","11","9","11","14","10","12","6","10"
,"5","12","9","14","11","4","13","16","14","16","16","6","4","12","15","14","9","6","6","10","21","11","11","9","11","14","10","12","6","10"
,"5","12","9","16","11","4","13","16","16","16","16","6","6","12","15","14","9","8","6","10","21","11","11","9","11","14","12","12","6","14"
,"5","12","9","16","11","4","15","16","16","16","16","6","6","12","15","16","9","10","6","10","21","11","11","9","11","14","12","12","6","14"
,"5","12","9","16","13","4","15","16","16","18","16","6","8","12","15","16","9","10","6","11","21","11","11","9","11","14","12","12","8","16"
,"7","12","11","16","13","4","15","16","17","20","18","6","8","12","15","16","11","10","8","11","21","11","13","9","11","14","12","12","8","18"
,"7","12","13","16","13","6","17","16","17","20","18","6","8","12","15","16","11","12","8","11","21","11","14","9","11","14","12","12","10","18"
,"9","12","13","16","13","6","17","16","17","22","20","6","10","12","15","18","11","12","8","11","21","11","14","9","11","16","12","12","10","20"
,"9","12","14","16","15","6","17","16","17","23","20","8","10","12","17","18","11","12","8","13","21","13","14","9","11","16","12","12","10","20"
,"9","14","14","18","15","6","17","18","17","23","20","10","12","14","17","18","11","12","8","13","21","13","14","9","11","16","12","12","12","20"
,"11","18","14","18","15","8","19","18","17","23","20","10","12","14","17","18","11","12","10","13","21","13","14","9","11","16","13","12","14","20"
,"13","20","15","18","15","8","19","18","17","23","20","10","12","14","17","18","11","12","10","15","21","13","14","9","11","16","15","14","14","20"
,"13","20","16","18","15","10","19","18","17","24","20","10","13","14","17","18","13","12","10","17","21","13","14","9","11","16","15","14","14","20"
,"15","20","16","18","15","10","21","20","17","24","20","10","13","14","17","18","13","12","10","21","21","13","14","9","11","16","15","14","17","20"
,"15","20","18","20","15","11","21","20","17","24","20","12","15","14","17","18","13","12","10","21","21","13","14","9","11","16","17","14","17","20"
,"15","22","18","21","15","11","21","20","19","24","22","12","15","17","21","18","15","12","10","21","23","13","14","11","11","16","17","14","19","20"
,"16","24","19","23","15","11","21","20","19","24","22","12","15","17","21","18","15","12","11","21","23","13","14","13","11","16","17","16","19","20"
,"16","24","19","23","15","11","21","20","19","24","22","12","15","17","21","18","15","12","11","23","23","13","16","13","11","16","17","18","19","20"
,"17","24","19","23","15","11","21","20","21","24","24","12","17","19","21","18","15","12","11","23","25","15","17","13","11","16","17","19","19","20"
,"17","24","19","23","19","13","21","20","23","24","24","12","17","19","21","18","17","12","13","23","25","15","17","13","11","16","17","19","21","22"
,"19","24","21","25","19","15","21","20","23","26","24","12","17","21","23","18","17","12","13","24","25","17","17","13","11","16","19","19","21","22"
,"19","24","23","25","19","17","21","20","23","26","26","15","17","23","23","18","22","14","13","24","25","17","17","13","11","16","19","19","23","22"
,"21","24","23","27","20","18","21","20","23","28","26","15","17","27","25","18","24","14","16","24","27","17","18","13","11","16","19","19","23","22"
,"21","24","23","31","20","18","21","20","25","28","26","15","17","27","25","20","24","14","16","24","27","17","18","17","11","16","19","21","23","24"
,"21","24","24","33","20","18","21","20","25","28","26","15","19","27","25","20","24","14","16","24","30","17","18","17","11","16","21","23","24","24"
,"21","24","24","33","20","18","21","20","25","28","26","15","19","27","25","20","24","14","16","24","30","17","18","17","11","16","23","23","26","24"
,"21","24","24","33","20","18","21","22","25","28","28","15","19","27","25","20","24","14","16","26","30","17","18","17","13","18","23","25","27","26"
,"23","28","24","33","24","18","21","22","27","28","30","15","19","27","27","22","24","14","16","26","30","17","18","19","13","18","23","25","29","26"
,"23","28","26","33","24","18","21","22","31","28","32","15","21","27","27","22","24","14","16","26","30","17","18","19","13","18","23","25","30","26"
,"23","28","29","33","26","18","21","22","31","28","34","17","21","27","27","22","24","14","16","26","30","17","20","19","13","18","23","25","30","26"
,"23","30","29","34","26","20","21","22","31","28","34","17","21","27","27","22","24","14","16","26","30","17","20","19","13","18","23","25","30","28"
,"23","30","29","36","26","20","21","22","33","30","34","17","21","27","27","22","29","14","16","26","30","17","20","19","13","18","25","25","30","28"
,"24","30","29","36","26","20","23","24","33","30","36","18","21","27","27","22","32","14","16","26","30","17","20","19","13","18","25","25","32","28"
,"26","30","31","36","26","20","25","24","33","32","36","20","23","27","27","22","33","14","16","26","30","17","20","19","13","20","25","25","32","28"
,"28","30","31","36","26","20","25","24","33","34","36","20","23","27","27","24","36","14","16","28","30","19","20","19","13","20","25","25","32","28"
,"28","30","33","36","26","20","25","24","33","34","36","20","23","27","27","24","36","14","16","28","30","19","20","19","13","20","25","27","32","28"
,"28","34","33","37","26","21","27","24","35","34","36","20","24","27","29","24","36","14","16","28","30","19","20","21","13","20","25","29","32","28"
,"28","34","33","37","26","23","29","24","35","34","36","20","24","27","29","24","36","14","16","28","30","19","20","24","13","20","25","29","32","28"
,"28","34","33","37","28","24","29","26","35","36","36","20","24","27","29","25","36","14","16","28","30","19","20","24","13","20","25","29","33","28"
,"28","34","35","37","28","24","29","26","35","36","36","20","24","29","29","25","36","14","16","28","30","19","20","24","13","20","25","29","35","28"
,"30","35","35","37","30","24","30","26","35","36","36","20","24","31","29","25","36","14","18","28","30","19","20","26","13","20","25","29","35","28"
,"30","35","35","37","30","24","30","26","35","38","36","20","25","31","29","25","37","14","18","28","30","21","20","26","13","20","27","31","35","28"
,"30","35","35","37","30","24","34","26","35","38","36","20","28","31","29","27","37","14","18","28","30","21","22","26","13","20","27","31","35","28"
,"32","35","35","37","32","24","34","26","35","38","36","20","30","31","31","29","37","14","20","30","30","21","22","26","13","20","27","31","35","28"
,"32","35","35","39","32","26","34","26","35","38","36","20","30","33","31","31","37","14","20","32","30","23","22","26","13","22","27","31","35","28"
,"34","35","35","41","32","26","34","26","37","38","38","20","30","33","31","32","37","14","20","32","30","25","22","26","13","24","27","31","35","30"
,"34","35","35","41","33","26","34","26","37","38","38","20","30","33","33","32","37","18","20","32","30","25","22","26","13","24","27","31","35","30"
,"36","35","35","41","33","26","38","28","37","38","38","20","30","33","33","32","37","18","20","34","30","25","22","26","13","26","27","33","35","30"
,"36","35","37","41","33","26","38","28","39","38","40","20","30","33","33","32","37","18","20","34","30","26","22","26","13","26","27","33","35","32"
,"36","35","37","41","33","26","38","28","39","38","42","20","30","33","33","34","39","18","22","34","30","26","22","28","13","26","29","33","35","32"
,"36","37","38","41","35","26","38","28","39","42","42","22","30","33","33","36","39","18","22","36","32","26","24","28","13","26","29","33","35","32"
,"36","37","38","43","36","28","38","28","39","43","42","22","30","33","33","36","39","18","22","36","32","26","24","28","15","26","29","33","39","32"
,"36","37","38","43","36","28","40","28","39","45","42","22","32","33","33","36","39","18","22","36","32","26","24","28","15","28","29","33","39","33"
,"36","37","38","43","36","28","40","28","39","45","42","24","32","33","33","40","41","18","22","36","32","26","24","28","15","28","29","33","39","33"
,"36","39","38","43","36","32","40","28","39","47","42","25","34","33","33","40","41","18","22","36","32","26","25","31","18","30","29","33","39","33"
,"36","41","38","45","36","34","40","28","39","47","46","25","34","33","33","40","41","18","22","36","32","26","25","31","18","30","29","33","39","33"
,"36","43","38","47","38","34","40","30","39","47","46","26","36","33","35","40","41","18","22","36","32","26","25","31","18","30","29","33","39","33"
,"36","43","38","47","38","34","42","30","39","47","46","26","36","33","35","40","41","18","22","38","34","26","27","31","18","30","29","35","39","33"
,"36","43","38","47","38","38","42","30","39","47","46","28","36","33","37","40","43","18","22","38","34","28","27","31","18","30","29","35","41","33"
,"36","43","38","49","38","38","42","32","39","47","48","28","36","33","37","40","43","18","24","38","34","28","27","31","18","30","29","35","42","35"
,"36","45","38","51","38","40","44","34","39","50","50","29","36","35","37","40","43","18","24","38","34","28","27","31","18","30","33","35","42","35"
,"38","45","40","51","38","40","44","34","39","50","50","31","36","35","37","41","45","20","26","38","34","28","27","33","18","30","35","37","42","35"
,"38","45","40","51","38","40","46","34","43","52","50","31","36","35","37","41","45","20","26","38","34","30","31","33","18","34","35","39","42","35"
,"38","45","40","53","38","40","46","34","43","52","50","31","36","35","37","41","45","20","28","38","36","30","31","33","18","34","35","39","42","35"
,"38","47","40","53","38","40","46","34","43","54","50","31","36","35","37","41","45","20","28","38","36","30","31","33","18","34","35","40","44","35"
,"39","47","40","53","38","42","46","34","43","54","52","31","36","35","37","41","45","20","28","38","36","30","31","33","18","34","35","42","44","35"
,"41","47","40","53","40","44","47","34","43","54","52","31","36","37","37","41","45","20","30","42","36","30","31","33","18","36","35","42","44","35"
,"41","47","40","53","40","44","47","34","45","56","52","31","36","39","37","41","45","20","31","42","40","30","31","33","18","36","35","42","44","35"
,"41","47","40","53","40","46","49","34","45","58","52","31","36","39","39","41","45","22","31","44","40","32","31","33","18","36","35","44","44","35"
,"41","49","40","55","40","46","49","36","45","58","52","31","36","41","39","41","45","22","31","44","40","32","31","33","18","36","35","44","44","35"
,"41","49","40","55","40","46","50","36","45","60","52","31","36","41","41","41","45","22","31","44","40","34","31","37","18","36","35","44","44","37"
,"42","53","40","57","40","46","50","36","45","60","52","31","36","41","41","41","45","22","31","48","40","36","31","37","20","36","35","44","44","39"
,"42","54","40","57","43","46","50","36","45","62","52","31","36","41","41","41","45","22","31","48","40","36","31","37","20","36","35","44","44","39"
,"42","54","40","57","43","46","50","36","45","64","52","31","38","44","43","41","45","22","31","48","40","36","33","37","20","38","37","44","44","39"
,"42","54","40","57","45","46","50","37","45","64","54","31","40","44","43","41","45","22","31","48","40","36","33","37","21","38","39","44","44","39"
,"42","56","42","57","45","48","50","37","45","66","54","31","40","45","43","41","45","22","31","50","40","36","33","37","21","40","39","44","44","39"
,"43","56","42","57","47","49","50","37","45","67","54","33","40","45","45","41","45","22","31","51","42","36","33","37","21","40","39","44","46","39"
,"44","58","42","57","47","49","50","41","45","67","54","33","40","45","45","43","45","22","31","51","42","38","33","37","21","40","39","44","46","39"
,"48","59","42","59","47","49","50","41","45","67","54","33","42","45","46","43","49","22","31","51","42","38","33","37","21","40","39","44","46","39"
,"48","59","42","61","47","49","52","41","45","67","54","35","42","47","46","43","49","24","35","51","42","38","33","37","23","40","39","44","46","39"
,"48","60","42","61","47","49","52","41","47","67","54","35","42","47","48","45","51","24","35","51","42","38","33","39","23","40","39","44","46","41"
,"48","61","42","61","47","49","52","45","47","67","54","35","42","47","48","45","51","24","35","51","42","39","34","39","23","42","39","44","46","43"
,"48","61","42","61","47","49","52","47","48","67","54","35","42","47","50","45","53","24","35","53","42","41","34","41","23","46","41","44","46","43"
,"48","62","42","61","47","49","52","49","50","69","54","35","42","47","50","45","55","26","36","53","44","41","34","41","23","46","41","48","46","43"
,"48","65","42","61","47","49","52","50","50","69","54","35","42","47","50","45","55","26","36","53","44","41","34","41","23","46","41","48","46","43"
,"48","68","42","61","47","50","52","50","50","71","54","35","42","47","50","45","55","26","36","53","44","43","34","41","25","46","41","48","46","43"
,"49","68","42","61","47","52","52","50","50","71","56","37","42","49","50","45","55","26","36","53","44","43","34","41","25","46","41","48","46","45"
,"50","68","42","61","47","52","54","54","50","71","58","37","42","49","51","45","55","26","37","53","44","45","36","41","25","46","41","50","46","45"
,"51","68","42","61","47","53","54","54","50","71","58","39","42","49","51","45","55","26","38","53","44","45","38","41","25","48","41","52","46","45"
